family,d_nom,d_eff,rep,r2_law,top1_regret,n_terms,traj,depth_sel
additive_linear,20,3,16,0.9524480851920332,0.0,8.0,t1,
additive_linear,20,3,17,0.9554783267510848,0.0,6.0,t1,
additive_linear,20,3,18,0.9549174912979526,0.02326769144489,6.0,t1,
additive_linear,20,3,19,0.9549922695516426,0.0,6.0,t1,
additive_linear,20,5,0,0.949260197951622,0.0,10.0,t1,
additive_linear,20,5,1,0.9415122440191646,0.0,10.0,t1,
additive_linear,20,5,2,0.9673140344554996,0.0,8.0,t1,
additive_linear,20,5,3,0.9586730790141734,0.0005455019854388,10.0,t1,
additive_linear,20,5,4,0.9547253018855228,0.0,9.0,t1,
additive_linear,20,5,5,0.9716512825302724,0.0,8.0,t1,
additive_linear,20,5,6,0.94542523446811,0.0,10.0,t1,
additive_linear,20,5,7,0.9654301383190872,0.0,9.0,t1,
additive_linear,20,5,8,0.9365325794311208,0.0,10.0,t1,
additive_linear,20,5,9,0.9779816937343034,0.0,9.0,t1,
additive_linear,20,5,10,0.926149593640796,0.0519335139835288,9.0,t1,
additive_linear,20,5,11,0.940367338890177,0.1366943355729094,10.0,t1,
additive_linear,20,5,12,0.9021754056366518,0.0157420276918596,10.0,t1,
additive_linear,20,5,13,0.9370704545882144,0.0418606930018739,10.0,t1,
additive_linear,20,5,14,0.93539715260521,0.0,10.0,t1,
additive_linear,20,5,15,0.9508791879562818,0.0,9.0,t1,
additive_linear,20,5,16,0.944574215799175,0.0027816085714582,10.0,t1,
additive_linear,20,5,17,0.948907259649658,0.0299854133798384,8.0,t1,
additive_linear,20,5,18,0.942971450556323,0.111392457472806,9.0,t1,
additive_linear,20,5,19,0.9363643492628532,0.0,10.0,t1,
additive_linear,20,9,0,0.6922265823570551,0.2318673893663401,10.0,t1,
additive_linear,20,9,1,0.808467153279901,0.0762019058010769,9.0,t1,
additive_linear,20,9,2,0.7430584767536743,0.2342895625932887,8.0,t1,
additive_linear,20,9,3,0.7544345701397404,0.0011170916099534,10.0,t1,
additive_linear,20,9,4,0.8077895546312357,0.1745726464248272,8.0,t1,
additive_linear,20,9,5,0.8605375390614691,15.53148921742245,10.0,t1,
additive_linear,20,9,6,0.7797253573343643,0.0,10.0,t1,
additive_linear,20,9,7,0.7729130203352803,0.3077481181240755,10.0,t1,
additive_linear,20,9,8,0.8001408454109312,0.0757987611461066,10.0,t1,
additive_linear,20,9,9,0.8526320335485982,0.0,10.0,t1,
additive_linear,20,9,10,0.810602540098142,0.210227180433776,9.0,t1,
additive_linear,20,9,11,0.8436951743283816,0.2016309236981124,10.0,t1,
additive_linear,20,9,12,0.8728376318768646,0.0213879549787305,10.0,t1,
additive_linear,20,9,13,0.8231011887648159,0.8867075823720657,8.0,t1,
additive_linear,20,9,14,0.8785432774564441,0.0,10.0,t1,
additive_linear,20,9,15,0.8122667621955906,0.0,10.0,t1,
additive_linear,20,9,16,0.8645035715101885,0.0767059205177369,10.0,t1,
additive_linear,20,9,17,0.8937259406046973,0.0308189652257377,9.0,t1,
additive_linear,20,9,18,0.8523648089167737,0.0,10.0,t1,
additive_linear,20,9,19,0.8464589586381195,0.4146018355224975,10.0,t1,
additive_linear,67,3,0,0.966656339915956,0.0,6.0,t1,
additive_linear,67,3,1,0.9774346373960968,0.0,6.0,t1,
additive_linear,67,3,2,0.8915516346161805,0.0265356291309324,4.0,t1,
additive_linear,67,3,3,0.95213488538887,0.0,6.0,t1,
additive_linear,67,3,4,0.9692322582762282,0.0,8.0,t1,
additive_linear,67,3,5,0.9638318705253708,0.0,6.0,t1,
additive_linear,67,3,6,0.9717323932078804,0.0,6.0,t1,
additive_linear,67,3,7,0.9805218087805296,0.0,5.0,t1,
additive_linear,67,3,8,0.9674125812741062,0.0,6.0,t1,
additive_linear,67,3,9,0.9112393832988556,0.0332543726100673,5.0,t1,
additive_linear,67,3,10,0.9507437487505068,0.0,6.0,t1,
additive_linear,67,3,11,0.9442356134941337,0.0,3.0,t1,
additive_linear,67,3,12,0.9719141506657466,0.0,6.0,t1,
additive_linear,67,3,13,0.9689115086394002,0.0,8.0,t1,
additive_linear,67,3,14,0.972960562391322,0.0,6.0,t1,
additive_linear,67,3,15,0.9731100888109806,0.0,5.0,t1,
additive_linear,67,3,16,0.9300651151030678,0.0,5.0,t1,
additive_linear,67,3,17,0.9599608363224156,0.0,7.0,t1,
additive_linear,67,3,18,0.9781699485562388,0.0,7.0,t1,
additive_linear,67,3,19,0.9849237737974226,0.0,6.0,t1,
additive_linear,67,5,0,0.968722335128756,0.0,10.0,t1,
additive_linear,67,5,1,0.9589323652645791,0.0210003054269397,8.0,t1,
additive_linear,67,5,2,0.9545280796037826,0.0,9.0,t1,
additive_linear,67,5,3,0.958248202283562,0.0,9.0,t1,
additive_linear,67,5,4,0.8718529068476607,0.0,7.0,t1,
additive_linear,67,5,5,0.968663235716042,0.0,10.0,t1,
additive_linear,67,5,6,0.9622560187179106,0.0,8.0,t1,
additive_linear,67,5,7,0.9569247983787362,0.0105493900405819,9.0,t1,
additive_linear,67,5,8,0.9357497673199217,0.0343022276387319,8.0,t1,
additive_linear,67,5,9,0.9576432210795832,0.1739528697179358,10.0,t1,
additive_linear,67,5,10,0.951346046641141,0.0,9.0,t1,
additive_linear,67,5,11,0.9499989701637536,0.0,9.0,t1,
additive_linear,67,5,12,0.919631820576518,0.0,7.0,t1,
additive_linear,67,5,13,0.9115149325996634,0.0515081892805232,10.0,t1,
additive_linear,67,5,14,0.953101350765104,0.0118533930109079,10.0,t1,
additive_linear,67,5,15,0.9216690965148568,0.0,9.0,t1,
additive_linear,67,5,16,0.9595935009973144,0.0180038910174954,10.0,t1,
additive_linear,67,5,17,0.932462417931063,0.0081493526017011,6.0,t1,
additive_linear,67,5,18,0.9612993626814984,0.0,8.0,t1,
additive_linear,67,5,19,0.9691345260984936,0.0,8.0,t1,
additive_linear,67,9,0,0.8388737687416234,2.8746834839078343,10.0,t1,
additive_linear,67,9,1,0.8307740182294898,0.0,10.0,t1,
additive_linear,67,9,2,0.8102042019703833,0.0,10.0,t1,
additive_linear,67,9,3,0.859513856964832,0.0,10.0,t1,
additive_linear,67,9,4,0.7344744815238621,0.1026558168815109,10.0,t1,
additive_linear,67,9,5,0.7713974911065886,0.0691137775878723,9.0,t1,
additive_linear,67,9,6,0.6316640601994445,0.4475856326979938,10.0,t1,
additive_linear,67,9,7,0.789168403178842,0.0,10.0,t1,
additive_linear,67,9,8,0.7486810017241798,0.0,10.0,t1,
additive_linear,67,9,9,0.8543931520627702,0.1319017273466075,10.0,t1,
additive_linear,67,9,10,0.7841624289557537,0.1463622516261529,9.0,t1,
additive_linear,67,9,11,0.8126007343393364,0.1131619732262802,10.0,t1,
additive_linear,67,9,12,0.7144294543709393,0.0,8.0,t1,
additive_linear,67,9,13,0.8721574357697595,0.0,10.0,t1,
additive_linear,67,9,14,0.7698470017043242,0.2958319589912982,10.0,t1,
additive_linear,67,9,15,0.7700033141500032,0.1414333250463038,10.0,t1,
additive_linear,67,9,16,0.846206122310202,0.0451803471575086,8.0,t1,
additive_linear,67,9,17,0.7531378025702576,0.0,8.0,t1,
additive_linear,67,9,18,0.9048959804922676,0.0,10.0,t1,
additive_linear,67,9,19,0.8325395368376369,0.0,9.0,t1,
random_gp,9,3,0,0.4927110651712544,0.9098180753296924,9.0,t1,
random_gp,9,3,1,0.5294622989522166,0.7812890349719654,3.0,t1,
random_gp,9,3,2,0.2279354473293223,0.3395915336572601,1.0,t1,
random_gp,9,3,3,0.4948772465562457,0.7627550203985568,6.0,t1,
random_gp,9,3,4,0.4015056900146996,0.2151462358210303,6.0,t1,
random_gp,9,3,5,0.4660705509531457,0.6209215750604936,2.0,t1,
random_gp,9,3,6,0.3630995561082794,1.1998303538761763,6.0,t1,
random_gp,9,3,7,0.3576164810208044,0.4039589212562979,8.0,t1,
random_gp,9,3,8,0.5159248999105174,0.6505691263145472,8.0,t1,
random_gp,9,3,9,0.2932200615436661,0.793949083401401,6.0,t1,
random_gp,9,3,10,0.4188903502110719,0.9248263009599584,8.0,t1,
random_gp,9,3,11,0.3285289105762412,0.6983661568090586,4.0,t1,
random_gp,9,3,12,0.447565520619881,1.501912659355633,5.0,t1,
random_gp,9,3,13,0.1749760134359742,1.5810299335391504,4.0,t1,
random_gp,9,3,14,0.3597155983564072,1.091894604459921,6.0,t1,
random_gp,9,3,15,0.5350556977444172,0.4245440429390537,5.0,t1,
random_gp,9,3,16,0.5580526174219227,1.1852472557607376,6.0,t1,
random_gp,9,3,17,0.4507748274923643,0.6475728019216325,7.0,t1,
random_gp,9,3,18,0.2367421709786016,0.6514018773261789,4.0,t1,
random_gp,9,3,19,0.5370795119710579,0.6090342623366137,6.0,t1,
random_gp,9,5,0,0.0334966364057761,0.9109879123203428,2.0,t1,
random_gp,9,5,1,0.0661304386659124,1.295648192222055,5.0,t1,
random_gp,9,5,2,0.0614270756712227,1.551465829927958,2.0,t1,
random_gp,9,5,3,0.3120597002712146,1.1764598622100282,5.0,t1,
